Ticker,Name,Exchange,Category,Country,Quote,Key,Income,Balance,Cash,Insider,Bonds
CBG,CBRE Group Inc.,NYQ,Property Management,USA,5/12/2021,N,5/30/2021,5/30/2021,5/30/2021,N,N
CACI,CACI International Inc,NYQ,Information Technology Services,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
DXR,Daxor Corporation,ASE,Medical Instruments & Supplies,USA,5/31/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
CYRN,CYREN Ltd.,NCM,Security Software & Services,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
CUBE,CubeSmart,NYQ,REIT - Industrial,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
CREG,China Recycling Energy Corporation,NCM,Waste Management,USA,3/28/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
CPSI,Computer Programs and Systems Inc.,NMS,Healthcare Information Services,USA,5/31/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
CPS,Cooper-Standard Holdings Inc.,NYQ,Auto Parts,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
CORR,CorEnergy Infrastructure Trust Inc.,NYQ,Asset Management,USA,3/28/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
CNHI,CNH Industrial N.V.,NYQ,Farm & Construction Machinery,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
CNA,CNA Financial Corporation,NYQ,Property & Casualty Insurance,USA,3/26/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
CMRE,Costamare Inc.,NYQ,Shipping,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
CIR,CIRCOR International Inc.,NYQ,Industrial Equipment & Components,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
CHT,Chunghwa Telecom Co. Ltd.,NYQ,Telecom Services - Domestic,USA,5/30/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N,N
CHMG,Chemung Financial Corporation,NMS,Regional - Pacific Banks,USA,4/24/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
