Ticker,Name,Exchange,Category,Country,Quote,Income,Balance,Cash,Insider,Institutional,Bonds,Buybacks
WKHS,Workhorse Group Inc,NMS,Auto Manufacturers - Major,USA,N,N,N,N,N,N,N,N
ALEC,Alector Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
BDSX,Biodesix Inc,NMS,Medical Laboratories & Research,USA,N,N,N,N,N,N,N,N
MOD,Modine Manufacturing Company,NQS,Auto Parts,USA,N,N,N,N,N,N,N,N
NWPX,Northwest Pipe Company,NMS,Metal Fabrication,USA,N,N,N,N,N,N,N,N
ASIX,AdvanSix Inc,NMS,Chemicals - Major Diversified,USA,N,N,N,N,N,N,N,N
ABTX,Allegiance Bancshares Inc,NMS,Banks - Regional,USA,N,N,N,N,N,N,N,N
HONE,HarborOne Bancorp Inc,NMS,Banks - Regional,USA,N,N,N,N,N,N,N,N
MEC,Mayville Engineering Company Inc,NQS,Metal Fabrication,USA,N,N,N,N,N,N,N,N
ECPG,Encore Capital Group Inc,NMS,Mortgage Investment,USA,N,N,N,N,N,N,N,N
OPRX,OptimizeRx Corporation,NMS,Health Information Services,USA,N,N,N,N,N,N,N,N
MMAC,MMA Capital Holdings Inc,NMS,Mortgage Investment,USA,N,N,N,N,N,N,N,N
HMPT,Home Point Capital Inc,NMS,Mortgage Investment,USA,N,N,N,N,N,N,N,N
MGY,Magnolia Oil & Gas Corporation,NQS,Oil & Gas Drilling & Exploration,USA,N,N,N,N,N,N,N,N
MNRL,Brigham Minerals Inc,NQS,Oil & Gas Drilling & Exploration,USA,N,N,N,N,N,N,N,N
LOVE,The Lovesac Company,NMS,Home Furnishings & Fixtures,USA,N,N,N,N,N,N,N,N
MRSN,Mersana Therapeutics Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
MTW,The Manitowoc Company Inc,NQS,Farm & Construction Machinery,USA,N,N,N,N,N,N,N,N
MCF,Contango Oil & Gas Company,NQS,Oil & Gas Drilling & Exploration,USA,N,N,N,N,N,N,N,N
TELL,Tellurian Inc,NMS,Oil & Gas Drilling & Exploration,USA,N,N,N,N,N,N,N,N
ALTA,Altabancorp,NMS,Banks - Regional,USA,N,N,N,N,N,N,N,N
BRY,Berry Corporation,NMS,Oil & Gas Drilling & Exploration,USA,N,N,N,N,N,N,N,N
PRTA,Prothena Corporation plc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
PVAC,Penn Virginia Corporation,NMS,Oil & Gas Drilling & Exploration,USA,N,N,N,N,N,N,N,N
CRSR,Corsair Gaming Inc,NMS,Computer Based Systems,USA,N,N,N,N,N,N,N,N
GTHX,G1 Therapeutics Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
FLMN,Falcon Minerals Corporation,NMS,Oil & Gas Drilling & Exploration,USA,N,N,N,N,N,N,N,N
TALO,Talos Energy Inc,NQS,Oil & Gas Drilling & Exploration,USA,N,N,N,N,N,N,N,N
NGM,NGM Biopharmaceuticals Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
CFB,CrossFirst Bankshares Inc,NMS,Banks - Regional,USA,N,N,N,N,N,N,N,N
CAC,Camden National Corporation,NMS,Banks - Regional,USA,N,N,N,N,N,N,N,N
CVM,CEL-SCI Corporation,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
PLRX,Pliant Therapeutics Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
CRK,Comstock Resources Inc,NMS,Oil & Gas Drilling & Exploration,USA,N,N,N,N,N,N,N,N
GDP,Goodrich Petroleum Corporation,NQS,Oil & Gas Drilling & Exploration,USA,N,N,N,N,N,N,N,N
SRRK,Scholar Rock Holding Corporation,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
NEXT,NextDecade Corporation,NMS,Oil & Gas Drilling & Exploration,USA,N,N,N,N,N,N,N,N
WHD,Cactus Inc,NQS,Oil & Gas Equipment & Services,USA,N,N,N,N,N,N,N,N
AROC,Archrock Inc,NMS,Oil & Gas Equipment & Services,USA,N,N,N,N,N,N,N,N
LBRT,Liberty Oilfield Services Inc,NMS,Oil & Gas Equipment & Services,USA,N,N,N,N,N,N,N,N
PUMP,ProPetro Holding Corp,NMS,Oil & Gas Equipment & Services,USA,N,N,N,N,N,N,N,N
NEX,NexTier Oilfield Solutions Inc,NQS,Oil & Gas Equipment & Services,USA,N,N,N,N,N,N,N,N
RNA,Avidity Biosciences Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
WTTR,Select Energy Services Inc,NQS,Oil & Gas Equipment & Services,USA,N,N,N,N,N,N,N,N
ALVR,AlloVir Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
KDMN,Kadmon Holdings Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
VRTV,Veritiv Corporation,NMS,Conglomerates,USA,N,N,N,N,N,N,N,N
SOI,Solaris Oilfield Infrastructure Inc,NQS,Oil & Gas Equipment & Services,USA,N,N,N,N,N,N,N,N
NESR,National Energy Services Reunited Corp,NMS,Oil & Gas Equipment & Services,USA,N,N,N,N,N,N,N,N
KROS,Keros Therapeutics Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
VTOL,Bristow Group Inc,NQS,Oil & Gas Equipment & Services,USA,N,N,N,N,N,N,N,N
CPF,Central Pacific Financial Corp,NMS,Banks - Regional,USA,N,N,N,N,N,N,N,N
EXTN,Exterran Corporation,NMS,Oil & Gas Equipment & Services,USA,N,N,N,N,N,N,N,N
TH,Target Hospitality Corp,NMS,Oil & Gas Equipment & Services,USA,N,N,N,N,N,N,N,N
LPG,Dorian LPG Ltd,NQS,Independent Oil & Gas,USA,N,N,N,N,N,N,N,N
CNST,Constellation Pharmaceuticals Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
MORF,Morphic Holding Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
TPC,Tutor Perini Corporation,NMS,Heavy Construction,USA,N,N,N,N,N,N,N,N
DSSI,Diamond S Shipping Inc,NMS,Independent Oil & Gas,USA,N,N,N,N,N,N,N,N
CLNE,Clean Energy Fuels Corp,NMS,Oil & Gas Refining & Marketing,USA,N,N,N,N,N,N,N,N
CVI,CVR Energy Inc,NMS,Oil & Gas Refining & Marketing,USA,N,N,N,N,N,N,N,N
PARR,Par Pacific Holdings Inc,NQS,Oil & Gas Refining & Marketing,USA,N,N,N,N,N,N,N,N
STEP,StepStone Group Inc,NMS,Asset Management,USA,N,N,N,N,N,N,N,N
NRIX,Nurix Therapeutics Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
PGC,Peapack-Gladstone Financial Corporation,NMS,Banks - Regional,USA,N,N,N,N,N,N,N,N
MTRN,Materion Corporation,NQS,Industrial Metals & Minerals,USA,N,N,N,N,N,N,N,N
STRO,Sutro Biopharma Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
GATO,Gatos Silver Inc,NMS,Industrial Metals & Minerals,USA,N,N,N,N,N,N,N,N
ACBI,Atlantic Capital Bancshares Inc,NMS,Banks - Regional,USA,N,N,N,N,N,N,N,N
CVGW,Calavo Growers Inc,NMS,Food - Major Diversified,USA,N,N,N,N,N,N,N,N
BRBR,BellRing Brands Inc,NMS,Food - Major Diversified,USA,N,N,N,N,N,N,N,N
LNDC,Landec Corporation,NMS,Food - Major Diversified,USA,N,N,N,N,N,N,N,N
LSF,Laird Superfood Inc,NQS,Food - Major Diversified,USA,N,N,N,N,N,N,N,N
STRL,Sterling Construction Company Inc,NMS,Heavy Construction,USA,N,N,N,N,N,N,N,N
INSG,Inseego Corp,NMS,Communication Equipment,USA,N,N,N,N,N,N,N,N
CLXT,Calyxt Inc,NMS,Food - Major Diversified,USA,N,N,N,N,N,N,N,N
PACK,Ranpak Holdings Corp,NQS,Packaging & Containers,USA,N,N,N,N,N,N,N,N
CMTL,Comtech Telecommunications Corp,NMS,Communication Equipment,USA,N,N,N,N,N,N,N,N
PCVX,Vaxcyte Inc,NMS,Biotechnology,USA,N,N,N,N,N,N,N,N
