Ticker,Name,Exchange,Category,Country,Quote,Income,Balance,Cash,Insider,Institutional,Bonds,Buybacks
AAPL,Apple Inc.,NMS,Electronic Equipment,USA,5/12/2021,3/26/2021,4/1/2021,3/26/2021,N,N,N,N
BAC,Bank of America Corporation,NYQ,Money Center Banks,USA,5/11/2021,3/27/2021,3/27/2021,3/27/2021,N,N,N,N
AMZN,Amazon.com Inc.,NMS,Catalog & Mail Order Houses,USA,5/11/2021,3/21/2021,3/21/2021,3/21/2021,N,N,N,N
CHWY,Chewy,NYQ,Catalog & Mail Order Houses,USA,5/11/2021,3/30/2021,3/30/2021,3/30/2021,N,N,N,N
T,AT&T Inc.,NYQ,Telecom Services - Domestic,USA,3/19/2021,3/20/2021,3/20/2021,3/20/2021,N,N,N,N
CDNS,Cadence Design Systems Inc,NSQ,Application Software,USA,N,N,N,N,N,N,N,N
CPRT,Copart Inc,NMS,Business Software & Services,USA,N,N,N,N,N,N,N,N
POOL,Pool Corporation,NMS,Toys & Games,USA,N,N,N,N,N,N,N,N
NWS,News Corporation,NMS,Broadcasting - TV,USA,N,N,N,N,N,N,N,N
HFC,HollyFrontier Corporation,NQS,Oil & Gas Refining & Marketing,USA,N,N,N,N,N,N,N,N
IPGP,IPG Photonics Corporation,NMS,Semiconductor Equipment & Materials,USA,N,N,N,N,N,N,N,N
PNW,Pinnacle West Capital Corporation,NMS,Electric Utilities,USA,N,N,N,N,N,N,N,N
NCLH,Norwegian Cruise Line Holdings Ltd,NQS,Resorts & Casinos,USA,N,N,N,N,N,N,N,N
CBOE,Cboe Global Markets,NMS,Diversified Investments,USA,N,N,N,N,N,N,N,N
IPG,The Interpublic Group of Companies,NQS,Advertising Agencies,USA,N,N,N,N,N,N,N,N
LKQ,LKQ Corporation,NMS,Auto Parts Stores,USA,N,N,N,N,N,N,N,N
CDW,CDW Corporation,NMS,Information Technology Services,USA,N,N,N,N,N,N,N,N
ZBRA,Zebra Technologies Corporation,NMS,Communication Equipment,USA,N,N,N,N,N,N,N,N
GOOG,Alphabet Inc.,NMS,Internet Information Providers,USA,5/11/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
MO,Altria Group Inc.,NYQ,Cigarettes,USA,5/11/2021,5/11/2021,3/23/2021,3/23/2021,N,N,N,N
DAL,Delta Air Lines Inc.,NYQ,Major Airlines,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
LYFT,Lyft,NYQ,Application Software,USA,5/12/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
PTON,Peloton Interactive Inc,NYQ,Sporting Activities,USA,5/11/2021,5/11/2021,5/11/2021,5/11/2021,N,N,N,N
PLTR,Palantir Technologies,NYQ,Application Software,USA,5/12/2021,5/10/2021,5/10/2021,5/10/2021,N,N,N,N
UBER,Uber,NYQ,Application Software,USA,5/12/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
AA,Alcoa Corporation,NYQ,Aluminum,USA,5/12/2021,4/26/2021,4/26/2021,4/26/2021,N,N,N,N
KSU,Kansas City Southern,NYQ,Railroads,USA,N,N,N,N,N,N,N,N
WRK,WestRock Company,NYQ,Packaging & Containers,USA,N,N,N,N,N,N,N,N
CHD,Church and Dwight Co,NYQ,Personal Products,USA,N,N,N,N,N,N,N,N
CFG,Citizens Financial Group,NYQ,Regional - Northeast Banks,USA,N,N,N,N,N,N,N,N
ULTA,Ulta Beauty,NMS,Specialty Retail Other,USA,N,N,N,N,N,N,N,N
CE,Celanese Corporation,NQS,Chemicals - Major Diversified,USA,N,N,N,N,N,N,N,N
DRE,Duke Realty Corporation,NQS,REIT - Industrial,USA,N,N,N,N,N,N,N,N
IEX,IDEX Corporation,NQS,Diversified Machinery,USA,N,N,N,N,N,N,N,N
AXP,American Express Company,NYQ,Credit Services,USA,3/26/2021,3/26/2021,3/26/2021,3/26/2021,N,N,N,N
DD,E. I. du Pont de Nemours and Company,NYQ,Agricultural Chemicals,USA,5/12/2021,4/27/2021,4/27/2021,4/27/2021,N,N,N,N
BABA,Alibaba Group Holding Limited,NYQ,Specialty Retail Other,USA,5/11/2021,3/23/2021,3/26/2021,3/26/2021,N,N,N,N
ABT,Abbott Laboratories,NYQ,Medical Appliances & Equipment,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
UA,Under Armour Inc.,NYQ,Textile - Apparel Clothing,USA,5/11/2021,3/21/2021,3/21/2021,3/21/2021,N,N,N,N
AMAT,Applied Materials Inc.,NMS,Semiconductor Equipment & Materials,USA,5/12/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
AMGN,Amgen Inc.,NMS,Biotechnology,USA,5/11/2021,5/9/2021,5/9/2021,5/9/2021,N,N,N,N
AAL,American Airlines Group Inc.,NMS,Major Airlines,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
SBAC,SBA Communications Corporation,NMS,REIT - Diversified,USA,N,N,N,N,N,N,N,N
AIG,American International Group Inc.,NYQ,Property & Casualty Insurance,USA,3/26/2021,4/3/2021,4/3/2021,4/3/2021,N,N,N,N
ALL,The Allstate Corporation,NYQ,Property & Casualty Insurance,USA,3/26/2021,4/3/2021,4/3/2021,4/3/2021,N,N,N,N
ADBE,Adobe Systems Incorporated,NMS,Application Software,USA,5/12/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
GOOGL,Alphabet Inc.,NMS,Internet Information Providers,USA,5/11/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
ACN,Accenture plc,NYQ,Information Technology Services,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
ABBV,AbbVie Inc.,NYQ,Drug Manufacturers - Major,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
MT,ArcelorMittal,NYQ,Steel & Iron,USA,5/12/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
LLY,Eli Lilly and Company,NYQ,Drug Manufacturers - Major,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
CNC,Centene Corporation,NYQ,Health Care Plans,USA,N,N,N,N,N,N,N,N
APA,Apache Corporation,NYQ,Independent Oil & Gas,USA,5/11/2021,4/3/2021,4/3/2021,4/3/2021,N,N,N,N
ADP,Automatic Data Processing Inc.,NMS,Business Software & Services,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
AKAM,Akamai Technologies Inc.,NMS,Internet Information Providers,USA,5/11/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
NLY,Annaly Capital Management Inc.,NYQ,REIT - Diversified,USA,5/12/2021,5/12/2021,5/12/2021,5/12/2021,N,N,N,N
ABX,Barrick Gold Corporation,NYQ,Gold,USA,5/9/2021,5/9/2021,5/9/2021,5/9/2021,N,N,N,N
KGC,Kinross Gold,NYQ,Gold,USA,5/9/2021,5/9/2021,5/9/2021,5/9/2021,N,N,N,N
ATVI,Activision Blizzard Inc.,NMS,Multimedia & Graphics Software,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
ADSK,Autodesk Inc.,NMS,Technical & System Software,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
ADM,Archer-Daniels-Midland Company,NYQ,Farm Products,USA,5/11/2021,3/20/2021,3/20/2021,3/20/2021,N,N,N,N
WBA,Walgreens Boots Alliance Inc.,NMS,Drug Stores,USA,5/11/2021,3/26/2021,3/23/2021,3/23/2021,N,N,N,N
ARNA,Arena Pharmaceuticals Inc.,NMS,Biotechnology,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
LUV,Southwest Airlines Co.,NYQ,Regional Airlines,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
ACAD,ACADIA Pharmaceuticals Inc.,NMS,Biotechnology,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
PANW,Palo Alto Networks Inc.,NYQ,Networking & Communication Devices,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
AMD,Advanced Micro Devices Inc.,NCM,Semiconductor - Broad Line,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
AET,Aetna Inc.,NYQ,Health Care Plans,USA,5/11/2021,5/11/2021,5/11/2021,5/11/2021,N,N,N,N
AEP,American Electric Power Company Inc.,NYQ,Electric Utilities,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
ALXN,Alexion Pharmaceuticals Inc.,NMS,Biotechnology,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
AVGO,Broadcom Limited,NMS,Semiconductor - Broad Line,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
EA,Electronic Arts Inc.,NMS,Multimedia & Graphics Software,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
DB,Deutsche Bank Aktiengesellschaft,NYQ,Foreign Regional Banks,USA,4/3/2021,4/4/2021,4/4/2021,4/4/2021,N,N,N,N
AEM,Agnico Eagle Mines Limited,NYQ,Gold,USA,5/9/2021,5/9/2021,5/9/2021,5/9/2021,N,N,N,N
APD,Air Products and Chemicals Inc.,NYQ,Chemicals - Major Diversified,USA,5/12/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
AMBA,Ambarella Inc.,NMS,Semiconductor Equipment & Materials,USA,5/12/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
NVS,Novartis AG,NYQ,Drug Manufacturers - Major,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
ANF,Abercrombie & Fitch Co.,NYQ,Apparel Stores,USA,5/11/2021,3/21/2021,3/21/2021,3/21/2021,N,N,N,N
LULU,Lululemon Athletica Inc.,NMS,Textile - Apparel Clothing,USA,5/11/2021,3/30/2021,3/30/2021,3/30/2021,N,N,N,N
RAD,Rite Aid Corporation,NYQ,Drug Stores,USA,5/11/2021,3/20/2021,3/23/2021,3/23/2021,N,N,N,N
ARRY,Array BioPharma Inc.,NGM,Biotechnology,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
AGNC,AGNC Investment Corp.,NMS,REIT - Residential,USA,5/12/2021,4/18/2021,4/18/2021,4/18/2021,N,N,N,N
JBLU,JetBlue Airways Corporation,NMS,Regional Airlines,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
A,Agilent Technologies Inc.,NYQ,Medical Laboratories & Research,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
ORLY,O Reilly Automotive Inc.,NMS,Auto Parts Stores,USA,5/11/2021,3/21/2021,3/21/2021,3/21/2021,N,N,N,N
FOLD,Amicus Therapeutics Inc.,NGM,Biotechnology,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
AZO,AutoZone Inc.,NYQ,Auto Parts Stores,USA,5/11/2021,3/21/2021,3/21/2021,3/21/2021,N,N,N,N
AN,AutoNation Inc.,NYQ,Auto Dealerships,USA,5/11/2021,3/21/2021,3/21/2021,3/21/2021,N,N,N,N
AZN,AstraZeneca PLC,NYQ,Drug Manufacturers - Major,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
BKNG,Booking Holdings Inc.,NYQ,Internet Information Providers,USA,5/11/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
AES,The AES Corporation,NYQ,Electric Utilities,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
BUD,Anheuser-Busch InBev SA NV,NYQ,Beverages - Brewers,USA,5/11/2021,3/21/2021,3/21/2021,3/21/2021,N,N,N,N
ARR,ARMOUR Residential REIT Inc.,NYQ,REIT - Residential,USA,5/12/2021,4/18/2021,4/18/2021,4/18/2021,N,N,N,N
BDX,Becton Dickinson and Company,NYQ,Medical Instruments & Supplies,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
AB,AllianceBernstein Holding L.P.,NYQ,Asset Management,USA,3/28/2021,3/28/2021,4/4/2021,4/4/2021,N,N,N,N
ACOR,Acorda Therapeutics Inc.,NMS,Biotechnology,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
CS,Credit Suisse Group AG,NYQ,Foreign Money Center Banks,USA,4/4/2021,4/4/2021,4/4/2021,4/4/2021,N,N,N,N
AFL,Aflac Incorporated,NYQ,Accident & Health Insurance,USA,4/4/2021,4/4/2021,4/4/2021,4/4/2021,N,N,N,N
ADI,Analog Devices Inc.,NMS,Semiconductor - Integrated Circuits,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
ACIW,ACI Worldwide Inc.,NMS,Technical & System Software,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
AMP,Ameriprise Financial Inc.,NYQ,Asset Management,USA,3/28/2021,3/28/2021,4/4/2021,4/4/2021,N,N,N,N
AEO,American Eagle Outfitters Inc.,NYQ,Apparel Stores,USA,5/11/2021,3/21/2021,3/21/2021,3/21/2021,N,N,N,N
AWK,American Water Works Company Inc.,NYQ,Water Utilities,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
NVO,Novo Nordisk A S,NYQ,Drug Manufacturers - Other,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
ALK,Alaska Air Group Inc.,NYQ,Regional Airlines,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
PAA,Plains All American Pipeline L.P.,NYQ,Oil & Gas Pipelines,USA,5/11/2021,4/3/2021,4/3/2021,4/3/2021,N,N,N,N
AAP,Advance Auto Parts Inc.,NYQ,Auto Parts Stores,USA,5/11/2021,3/21/2021,3/21/2021,3/21/2021,N,N,N,N
NAT,Nordic American Tankers Limited,NYQ,Shipping,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
FNMA,Federal National Mortgage Association,PNK,Mortgage Investment,USA,4/4/2021,4/4/2021,4/4/2021,4/4/2021,N,N,N,N
AIV,Apartment Investment and Management Company,NYQ,REIT - Residential,USA,5/12/2021,4/18/2021,4/18/2021,4/18/2021,N,N,N,N
AGIO,Agios Pharmaceuticals Inc.,NMS,Biotechnology,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
AEE,Ameren Corporation,NYQ,Electric Utilities,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
UBS,UBS Group AG,NYQ,Foreign Money Center Banks,USA,4/4/2021,4/4/2021,4/4/2021,4/4/2021,N,N,N,N
AVXL,Anavex Life Sciences Corp.,NCM,Biotechnology,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
ARLP,Alliance Resource Partners L.P.,NMS,Industrial Metals & Minerals,USA,5/12/2021,5/7/2021,5/7/2021,5/8/2021,N,N,N,N
ANTM,Anthem Inc.,NYQ,Health Care Plans,USA,5/11/2021,5/11/2021,5/11/2021,5/11/2021,N,N,N,N
AGU,Agrium Inc.,NYQ,Agricultural Chemicals,USA,5/12/2021,4/27/2021,4/27/2021,4/27/2021,N,N,N,N
AG,First Majestic Silver Corp.,NYQ,Silver,USA,3/20/2021,3/20/2021,3/20/2021,3/20/2021,N,N,N,N
AFSI,AmTrust Financial Services Inc.,NMS,Property & Casualty Insurance,USA,3/26/2021,4/3/2021,4/3/2021,4/3/2021,N,N,N,N
ABC,AmerisourceBergen Corporation,NYQ,Drugs Wholesale,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
STO,Statoil ASA,NYQ,Major Integrated Oil & Gas,USA,5/11/2021,4/3/2021,4/3/2021,4/3/2021,N,N,N,N
ATI,Allegheny Technologies Incorporated,NYQ,Metal Fabrication,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
LIN,Linde plc,NYQ,Chemicals - Major Diversified,USA,5/12/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
AVB,AvalonBay Communities Inc.,NYQ,REIT - Residential,USA,5/12/2021,4/18/2021,4/18/2021,4/18/2021,N,N,N,N
ATW,Atwood Oceanics Inc.,NYQ,Oil & Gas Drilling & Exploration,USA,5/11/2021,4/3/2021,4/3/2021,4/3/2021,N,N,N,N
ALNY,Alnylam Pharmaceuticals Inc.,NMS,Biotechnology,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
LH,Laboratory Corporation of America Holdings,NYQ,Medical Laboratories & Research,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
AVY,Avery Dennison Corporation,NYQ,Business Equipment,USA,5/11/2021,3/21/2021,3/21/2021,3/21/2021,N,N,N,N
AUY,Yamana Gold Inc.,NYQ,Gold,USA,5/9/2021,5/9/2021,5/9/2021,5/9/2021,N,N,N,N
ASH,Ashland Global Holdings Inc.,NYQ,Chemicals - Major Diversified,USA,5/12/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
ACXM,Acxiom Corporation,NMS,Information Technology Services,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
ACET,Aceto Corporation,NMS,Chemicals - Major Diversified,USA,5/12/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
ABMD,ABIOMED Inc.,NMS,Medical Appliances & Equipment,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
ABM,ABM Industries Incorporated,NYQ,Business Services,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
LIFE,aTyr Pharma Inc.,NMS,Biotechnology,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
ATO,Atmos Energy Corporation,NYQ,Gas Utilities,USA,5/8/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
AON,Aon plc,NYQ,Insurance Brokers,USA,3/28/2021,4/4/2021,4/4/2021,4/4/2021,N,N,N,N
ADXS,Advaxis Inc.,NMS,Biotechnology,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
ADC,Agree Realty Corporation,NYQ,Property Management,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
SAVE,Spirit Airlines Inc.,NMS,Major Airlines,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
ADS,Alliance Data Systems Corporation,NYQ,Business Services,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
ABAX,Abaxis Inc.,NMS,Medical Laboratories & Research,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
AYI,Acuity Brands Inc.,NYQ,Diversified Electronics,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
ASML,ASML Holding N.V.,NMS,Semiconductor Equipment & Materials,USA,5/12/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
AMT,American Tower Corporation,NYQ,REIT - Diversified,USA,5/12/2021,5/12/2021,5/12/2021,5/12/2021,N,N,N,N
ACM,AECOM,NYQ,Technical Services,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
ATRS,Antares Pharma Inc.,NCM,Medical Instruments & Supplies,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
ARW,Arrow Electronics Inc.,NYQ,Electronics Wholesale,USA,5/11/2021,3/21/2021,3/21/2021,3/21/2021,N,N,N,N
ARI,Apollo Commercial Real Estate Finance Inc.,NYQ,REIT - Diversified,USA,5/12/2021,5/12/2021,5/12/2021,5/12/2021,N,N,N,N
AR,Antero Resources Corporation,NYQ,Oil & Gas Drilling & Exploration,USA,5/11/2021,4/3/2021,4/3/2021,4/3/2021,N,N,N,N
AMC,AMC Entertainment Holdings Inc.,NYQ,Movie Production Theaters,USA,5/11/2021,3/21/2021,3/21/2021,3/21/2021,N,N,N,N
AL,Air Lease Corporation,NYQ,Rental & Leasing Services,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
AGEN,Agenus Inc.,NCM,Biotechnology,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
AAN,Aaron s Inc.,NYQ,Rental & Leasing Services,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
BAH,Booz Allen Hamilton Holding Corporation,NYQ,Management Services,USA,5/12/2021,5/12/2021,5/12/2021,5/12/2021,N,N,N,N
AXAS,Abraxas Petroleum Corporation,NCM,Independent Oil & Gas,USA,5/11/2021,4/3/2021,4/3/2021,4/3/2021,N,N,N,N
AVT,Avnet Inc.,NYQ,Electronics Wholesale,USA,5/11/2021,3/21/2021,3/21/2021,3/21/2021,N,N,N,N
ALB,Albemarle Corporation,NYQ,Specialty Chemicals,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
AIZ,Assurant Inc.,NYQ,Accident & Health Insurance,USA,4/4/2021,4/4/2021,4/4/2021,4/4/2021,N,N,N,N
SAIC,Science Applications International Corporation,NYQ,Information Technology Services,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
CAR,Avis Budget Group Inc.,NMS,Rental & Leasing Services,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
AU,AngloGold Ashanti Limited,NYQ,Gold,USA,5/9/2021,5/9/2021,5/9/2021,5/9/2021,N,N,N,N
APH,Amphenol Corporation,NYQ,Diversified Electronics,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
ANTH,Anthera Pharmaceuticals Inc.,NGM,Biotechnology,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
AMX,Amrica Mvil S.A.B. de C.V.,NYQ,Wireless Communications,USA,5/11/2021,3/20/2021,3/20/2021,3/20/2021,N,N,N,N
AMDA,Amedica Corporation,NCM,Medical Appliances & Equipment,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
AI,Arlington Asset Investment Corp.,NYQ,Mortgage Investment,USA,4/4/2021,4/4/2021,4/4/2021,4/4/2021,N,N,N,N
ABCO,The Advisory Board Company,NMS,Business Services,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
WMC,Western Asset Mortgage Capital Corporation,NYQ,Mortgage Investment,USA,4/4/2021,4/4/2021,4/4/2021,4/4/2021,N,N,N,N
JKHY,Jack Henry & Associates Inc.,NMS,Business Software & Services,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
AVAV,AeroVironment Inc.,NMS,Aerospace Defense Products & Services,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
AMKR,Amkor Technology Inc.,NMS,Semiconductor - Integrated Circuits,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
ACH,Aluminum Corporation Of China Limited,NYQ,Aluminum,USA,5/12/2021,4/26/2021,4/26/2021,4/26/2021,N,N,N,N
AEIS,Advanced Energy Industries Inc.,NMS,Diversified Electronics,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
Y,Alleghany Corporation,NYQ,Property & Casualty Insurance,USA,3/26/2021,4/3/2021,4/3/2021,4/3/2021,N,N,N,N
MTGE,MTGE Investment Corp.,NMS,REIT - Diversified,USA,5/12/2021,5/12/2021,5/12/2021,5/12/2021,N,N,N,N
CENX,Century Aluminum Company,NMS,Aluminum,USA,5/12/2021,4/26/2021,4/26/2021,4/26/2021,N,N,N,N
ASPS,Altisource Portfolio Solutions S.A.,NMS,Business Services,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
AMRN,Amarin Corporation plc,NGM,Drug Manufacturers - Other,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
AMPE,Ampio Pharmaceuticals Inc.,ASE,Biotechnology,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
ALKS,Alkermes plc,NMS,Drug Delivery,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
ADES,Advanced Emissions Solutions Inc.,NGM,Pollution & Treatment Controls,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
AAON,AAON Inc.,NMS,General Building Materials,USA,5/12/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
XLRN,Acceleron Pharma Inc.,NGM,Biotechnology,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
VRSK,Verisk Analytics Inc.,NMS,Business Services,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
VJET,Voxeljet AG,NYQ,Computer Peripherals,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
OA,Orbital ATK Inc.,NYQ,Aerospace Defense Products & Services,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
ATLS,Atlas Energy Group LLC,PNK,Independent Oil & Gas,USA,5/11/2021,4/3/2021,4/3/2021,4/3/2021,N,N,N,N
APTS,Preferred Apartment Communities Inc.,NYQ,REIT - Residential,USA,5/12/2021,4/18/2021,4/18/2021,4/18/2021,N,N,N,N
APO,Apollo Global Management LLC,NYQ,Diversified Investments,USA,3/28/2021,4/4/2021,4/4/2021,4/4/2021,N,N,N,N
ALSK,Alaska Communications Systems Group Inc.,NMS,Telecom Services - Domestic,USA,3/19/2021,3/20/2021,3/20/2021,3/20/2021,N,N,N,N
ALG,Alamo Group Inc.,NYQ,Farm & Construction Machinery,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
AHC,A.H. Belo Corporation,NYQ,Publishing - Newspapers,USA,3/20/2021,3/20/2021,3/20/2021,3/20/2021,N,N,N,N
ACTG,Acacia Research Corporation,NMS,Business Services,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
RBA,Ritchie Bros. Auctioneers Incorporated,NYQ,Business Services,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
MAA,Mid-America Apartment Communities Inc.,NYQ,REIT - Residential,USA,5/12/2021,4/18/2021,4/18/2021,4/18/2021,N,N,N,N
BAM,Brookfield Asset Management Inc.,NYQ,Real Estate Development,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
ATHN,athenahealth Inc.,NMS,Healthcare Information Services,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
AT,Atlantic Power Corporation,NYQ,Electric Utilities,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
ASX,Advanced Semiconductor Engineering Inc.,NYQ,Semiconductor Equipment & Materials,USA,5/12/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
ARCO,Arcos Dorados Holdings Inc.,NYQ,Restaurants,USA,5/11/2021,3/21/2021,3/21/2021,3/21/2021,N,N,N,N
ANET,Arista Networks Inc.,NYQ,Diversified Computer Systems,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
ANCX,Access National Corporation,NGM,Regional - Mid-Atlantic Banks,USA,4/4/2021,4/4/2021,4/4/2021,4/4/2021,N,N,N,N
AIR,AAR Corp.,NYQ,Aerospace Defense Products & Services,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
AF,Astoria Financial Corporation,NYQ,Savings & Loans,USA,4/4/2021,4/4/2021,4/4/2021,4/24/2021,N,N,N,N
WAB,Westinghouse Air Brake Technologies Corporation,NYQ,Railroads,USA,5/12/2021,3/28/2021,3/28/2021,3/28/2021,N,N,N,N
RS,Reliance Steel & Aluminum Co.,NYQ,Steel & Iron,USA,5/12/2021,5/7/2021,5/7/2021,5/7/2021,N,N,N,N
PKG,Packaging Corporation of America,NYQ,Packaging & Containers,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
